"afferent_signal_nonlin_scale","disease_effect_on_nephrons","disease_effects_decreasing_Kf","glucose_concentration","Na_intake_rate","nom_afferent_diameter","nom_Kf","nom_preafferent_arteriole_resistance","nominal_cd_na_reabsorption","nominal_pt_na_reabsorption","preaff_signal_nonlin_scale","pressure_natriuresis_CD_scale","pressure_natriuresis_PT_scale","RIHP0","SN_albumin_reabsorptive_capacity"
2.02669852226973,0.373503140829533,0.331798121617686,11.3665667180903,0.104,1.63483807533048e-05,3.9,19.6803211588413,0.856825061701238,0.779290989786386,0.650573512539268,0.399856493342668,0.1,9.77167606381699,1.11742515771184e-06
2.00788732292131,0.499479288924184,0.43050023646933,7.96254862495698,0.104,1.64726427516434e-05,3.9,14.363590285182,0.879364084685221,0.690635129772127,1.06445825612172,0.485256078885868,0.1,9.90120582468808,1.36775534886401e-06
0.971880092285573,0.102723500225515,0.0793618196549931,10.9316221780609,0.104,1.62183759103064e-05,3.9,18.6665282631293,0.85606772180181,0.638543528672308,2.28830738319084,0.849040341563523,0.1,9.85016390411183,1.34680305151269e-06
1.76141422335058,0.354360647241953,0.478412759717628,10.4456647769548,0.104,1.55938667736482e-05,3.9,19.2334552505054,0.867039745510556,0.787968009319156,1.88712160009891,0.0563762758392841,0.1,9.77801353586838,1.12265370055102e-06
1.31974478764459,0.692537530156637,0.663625903457407,7.59147599735297,0.104,1.64912616475485e-05,3.9,17.6767834904604,0.811710043973289,0.716308359559625,1.8714353502728,0.745767306070775,0.1,9.78066899161786,1.34206423051655e-06
1.44563865289092,0.533193684213504,0.464996046179994,10.8718771515414,0.104,1.5606615355704e-05,3.9,14.5903123966418,0.878295597597025,0.682060695849359,0.646327521186322,0.228222492150962,0.1,9.66056873779744,1.30542302313261e-06
2.28043681150302,0.509709349628937,0.401044428869662,11.5428283850197,0.104,1.55745274738874e-05,3.9,17.7200317122042,0.812928985082544,0.78280641887337,0.578202595002949,0.762726751621813,0.1,9.81922352109104,1.12897017321084e-06
2.23489897930995,0.630304912301628,0.556788354451963,8.8064868147485,0.104,1.62812381326221e-05,3.9,15.7408751924522,0.855682145478204,0.639259148854762,1.73759326338768,0.275577486259863,0.1,9.64763518543914,1.27206852252129e-06
1.51226863497868,0.174379600355716,0.136434306683784,11.1152578801848,0.104,1.62560062059201e-05,3.9,15.0730415754952,0.869648740906268,0.722087666988373,2.37251767842099,0.721437729895115,0.1,9.68347711963579,1.33723687524907e-06
0.511748041491956,0.59851313982685,0.393499265461109,11.3692624208052,0.104,1.58283104763832e-05,3.9,15.4831428444013,0.876739005255513,0.782618590369821,1.47840606467798,0.973573433468118,0.1,9.69837901536375,1.38904716889374e-06
